GalaxyID,Smooth,Edge,Spiral
100008,0,0,1
100023,0,0,1
100053,1,0,0
100078,1,0,0
100090,1,0,0
100122,1,0,0
100123,0,0,0
100128,1,0,0
100134,0,0,1
100143,0,1,0
100150,0,0,0
100157,0,0,0
100187,0,0,0
100204,0,0,0
100237,0,0,1
100259,0,0,0
100263,0,1,0
100288,1,0,0
100295,1,0,0
100322,0,1,0
100335,0,0,1
100367,0,0,1
100380,0,0,1
100382,0,0,1
100383,0,0,1
100402,1,0,0
100428,1,0,0
100434,1,0,0
100444,1,0,0
100445,0,0,0
100458,1,0,0
100474,0,1,0
100479,1,0,0
100506,0,0,0
100513,0,1,0
100520,0,1,0
100541,0,0,0
100561,0,0,0
100571,1,0,0
100601,1,0,0
100623,0,1,0
100672,1,0,0
100673,0,0,1
100724,1,0,0
100727,1,0,0
100730,1,0,0
100740,1,0,0
100744,1,0,0
100765,0,0,1
100774,0,0,0
100801,0,0,1
100813,0,0,1
100821,0,0,1
100822,0,0,1
100836,0,1,0
100852,1,0,0
100859,0,0,1
100861,1,0,0
100867,1,0,0
100887,1,0,0
100894,0,0,0
100938,0,0,0
100951,0,0,1
100986,0,1,0
101007,0,0,1
101061,1,0,0
101074,0,0,1
101092,1,0,0
101127,0,1,0
101133,0,0,1
101135,1,0,0
101140,0,0,1
101151,1,0,0
101164,1,0,0
101166,0,0,1
101181,0,1,0
101232,0,1,0
101239,0,1,0
101244,0,0,1
101246,1,0,0
101247,1,0,0
101251,1,0,0
101275,0,0,1
101283,1,0,0
101286,1,0,0
101290,1,0,0
101291,1,0,0
101296,1,0,0
101298,0,0,1
101306,0,0,0
101307,0,0,1
101315,0,0,1
101324,0,0,1
101325,1,0,0
101355,0,1,0
101358,0,0,0
101371,1,0,0
101374,0,1,0
101375,0,0,0
101427,0,0,0
101469,0,0,1
101493,0,0,0
101501,0,0,0
101502,1,0,0
101518,1,0,0
101538,1,0,0
101548,1,0,0
101549,0,0,1
101563,0,1,0
101564,0,0,1
101572,1,0,0
101589,0,1,0
101591,0,0,0
101595,0,1,0
101597,1,0,0
101599,1,0,0
101623,1,0,0
101627,1,0,0
101651,1,0,0
101654,1,0,0
101660,0,1,0
101666,0,0,0
101685,0,1,0
101695,1,0,0
101701,0,0,0
101718,0,1,0
101754,1,0,0
101756,0,0,1
101762,0,1,0
101774,0,0,1
101787,0,0,1
101788,0,1,0
101798,0,0,0
101804,0,0,1
101807,0,0,1
101816,1,0,0
101848,0,1,0
101854,1,0,0
101858,1,0,0
101875,1,0,0
101893,0,1,0
101941,0,0,0
101943,1,0,0
101955,0,0,1
101971,1,0,0
101980,0,1,0
101991,0,0,1
101995,0,1,0
101997,0,1,0
102000,1,0,0
102015,1,0,0
102021,0,1,0
102027,0,0,1
102040,0,0,1
102046,0,0,1
102047,0,0,0
102113,0,0,0
102115,1,0,0
102159,0,0,0
102174,1,0,0
102176,0,0,1
102182,1,0,0
102243,0,0,1
102260,1,0,0
102271,0,0,0
102295,1,0,0
102328,0,0,1
102347,1,0,0
102371,1,0,0
102391,0,0,1
102402,0,0,1
102406,0,0,0
102407,0,0,1
102422,0,0,1
102433,0,0,1
102471,1,0,0
102474,0,0,1
102481,1,0,0
102513,1,0,0
102556,1,0,0
102595,0,0,0
102602,1,0,0
102616,1,0,0
102642,1,0,0
102649,0,0,0
102657,0,0,0
102699,0,0,0
102701,0,0,1
102729,1,0,0
102731,0,0,0
102735,0,0,1
102742,0,0,1
102743,1,0,0
102765,0,0,1
102770,1,0,0
102799,1,0,0
102804,1,0,0
102808,1,0,0
102812,0,1,0
102822,0,0,0
102834,1,0,0
102839,1,0,0
102843,1,0,0
102863,0,1,0
102871,1,0,0
102874,0,1,0
102919,0,0,0
102928,1,0,0
102933,1,0,0
102964,0,1,0
102974,0,0,0
102977,1,0,0
102982,0,1,0
102990,0,0,1
102998,0,0,0
103019,0,0,1
103037,0,0,1
103040,0,1,0
103072,1,0,0
103075,0,0,1
103132,0,1,0
103159,0,0,1
103167,0,0,0
103191,1,0,0
103224,1,0,0
103233,1,0,0
103246,0,0,0
103255,0,1,0
103260,1,0,0
103318,0,0,0
103323,1,0,0
103348,1,0,0
103353,1,0,0
103354,1,0,0
103356,0,0,1
103373,0,0,0
103386,1,0,0
103393,1,0,0
103444,1,0,0
103445,0,0,1
103491,0,0,0
103500,1,0,0
103503,0,0,0
103520,0,0,0
103523,0,0,0
103533,0,0,1
103547,0,0,1
103561,0,0,1
103577,1,0,0
103592,0,0,0
103610,1,0,0
103626,1,0,0
103645,1,0,0
103646,1,0,0
103707,1,0,0
103718,1,0,0
103731,1,0,0
103750,0,0,0
103751,0,0,0
103754,0,0,0
103758,1,0,0
103769,0,0,0
103787,0,1,0
103818,0,0,1
103819,1,0,0
103824,0,0,1
103882,0,0,0
103900,1,0,0
103902,1,0,0
103904,1,0,0
103907,1,0,0
103950,0,0,1
103955,1,0,0
103974,0,0,0
103979,0,0,1
103999,0,0,0
104001,0,0,1
104008,0,1,0
104020,0,0,1
104040,0,0,1
104041,0,1,0
104096,1,0,0
104110,1,0,0
104131,0,0,0
104141,1,0,0
104143,1,0,0
104159,1,0,0
104173,1,0,0
104196,1,0,0
104212,0,1,0
104216,0,1,0
104222,0,0,0
104234,0,0,1
104243,1,0,0
104253,1,0,0
104267,0,1,0
104268,0,1,0
104279,0,0,0
104281,1,0,0
104287,0,0,1
104310,0,0,1
104314,0,0,1
104317,0,1,0
104354,0,1,0
104365,0,0,0
104387,1,0,0
104389,0,0,1
104398,0,1,0
104414,1,0,0
104420,0,0,1
104422,1,0,0
104440,1,0,0
104460,1,0,0
104478,0,0,1
104516,1,0,0
104536,0,0,1
104540,0,0,0
104589,0,0,1
104602,1,0,0
104608,0,0,0
104610,0,1,0
104611,1,0,0
104612,1,0,0
104624,0,0,1
104703,1,0,0
104709,1,0,0
104721,0,0,1
104723,0,1,0
104751,0,0,0
104764,1,0,0
104769,1,0,0
104784,0,0,1
104788,0,0,0
104819,0,0,0
104830,0,1,0
104920,0,0,0
104929,1,0,0
104934,0,0,1
104962,0,1,0
104977,1,0,0
104988,1,0,0
104991,0,0,0
105009,0,0,1
105014,0,0,0
105020,1,0,0
105028,0,0,0
105056,0,0,0
105069,0,0,1
105070,0,0,0
105082,1,0,0
105088,1,0,0
105092,1,0,0
105117,0,0,0
105165,1,0,0
105201,0,0,0
105216,0,0,0
105218,0,0,1
105221,0,0,0
105257,0,0,0
105258,1,0,0
105279,1,0,0
105314,0,0,1
105331,1,0,0
105334,0,0,0
105354,1,0,0
105364,0,0,1
105365,0,0,1
105381,0,1,0
105417,0,0,1
105447,1,0,0
105459,1,0,0
105497,0,0,1
105500,0,0,1
105507,1,0,0
105513,0,1,0
105529,0,0,0
105539,0,0,1
105541,1,0,0
105572,0,0,1
105576,0,0,1
105581,1,0,0
105613,0,0,1
105631,0,0,1
105648,1,0,0
105653,0,0,0
105700,0,0,1
105743,0,1,0
105755,1,0,0
105757,1,0,0
105758,0,0,1
105762,1,0,0
105764,0,1,0
105772,1,0,0
105774,0,0,1
105787,0,0,1
105797,1,0,0
105846,0,0,0
105868,1,0,0
105870,1,0,0
105879,0,0,0
105881,0,0,0
105900,0,0,0
105902,0,0,0
105925,0,0,1
105940,0,1,0
105973,0,0,0
105983,0,0,0
105984,0,0,0
105986,0,0,0
105991,1,0,0
106000,1,0,0
106018,1,0,0
106028,1,0,0
106039,0,0,1
106040,1,0,0
106044,1,0,0
106049,0,0,0
106059,0,0,0
106079,0,0,0
106105,1,0,0
106124,1,0,0
106147,1,0,0
106165,0,1,0
106170,1,0,0
106176,0,1,0
106199,0,1,0
106205,1,0,0
106206,1,0,0
106230,1,0,0
106263,0,0,1
106275,0,0,1
106298,0,1,0
106355,0,0,1
106357,0,0,0
106388,1,0,0
106390,0,0,1
106409,0,0,0
106429,0,1,0
106432,0,1,0
106463,1,0,0
106471,0,0,0
106499,0,1,0
106514,0,0,1
106544,1,0,0
106612,1,0,0
106621,0,0,1
106646,0,0,0
106652,1,0,0
106664,0,0,1
106670,0,1,0
